https://aprs.fi/?c=raw&call=N8EPK-11&limit=300&view=normal
=====================
2023-06-10 10:21:04 EDT: N8EPK-11>APLIGA,WIDE1-1,WIDE2-1,qAO,N8EPK-10:>Bartold-3: Hello world!!!
2023-06-10 11:44:37 EDT: N8EPK-11>APLIGA,WIDE2-1,qAR,K8JTT-2:/154432h4215.78N/08231.97WO139/041/A=022471 022TxC -11.20C  428.39hPa  5.05V 05S https://bartold.sienkowski.com/
2023-06-10 11:45:52 EDT: N8EPK-11>APLIGA,WIDE2-1,qAR,K8TIH:/154547h4215.16N/08231.21WO136/038/A=022026 023TxC -10.40C  435.42hPa  4.95V 04S https://bartold.sienkowski.com/
2023-06-10 11:47:10 EDT: N8EPK-11>APLIGA,WIDE2-1,qAR,VA3XLT:/154705h4214.57N/08230.42WO134/030/A=021549 024TxC -10.60C  442.76hPa  4.82V 05S https://bartold.sienkowski.com/
2023-06-10 11:48:31 EDT: N8EPK-11>APLIGA,WIDE2-1,qAR,VA3XLT-1:/154826h4214.13N/08229.66WO125/027/A=021234 025TxC -26.70C  442.91hPa  5.10V 05S https://bartold.sienkowski.com/
2023-06-10 11:49:51 EDT: N8EPK-11>APLIGA,WIDE2-1,qAR,VA3APW-3:/154946h4213.80N/08229.02WO123/024/A=020934 026TxC  -8.30C  455.80hPa  5.11V 05S https://bartold.sienkowski.com/
2023-06-10 11:51:08 EDT: N8EPK-11>APLIGA,WIDE2-1,qAR,N3SAM:/155103h4213.51N/08228.49WO121/024/A=020581 027TxC  -7.00C  462.85hPa  5.08V 05S https://bartold.sienkowski.com/
2023-06-10 11:55:03 EDT: N8EPK-11>APLIGA,WIDE2-1,qAR,K8TIH:/155458h4212.74N/08227.03WO127/019/A=019412 030TxC  -3.30C  484.98hPa  5.64V 05S https://bartold.sienkowski.com/
2023-06-10 12:00:20 EDT: N8EPK-11>APLIGA,WIDE2-1,qAR,N8HKU-5:>Day 1 Bartold-3: Hello world!!!
2023-06-10 12:01:42 EDT: N8EPK-11>APLIGA,WIDE2-1,qAR,W8QT-1:/160137h4211.44N/08224.46WO128/020/A=017710 035TxC -14.30C  504.49hPa  5.11V 04S https://bartold.sienkowski.com/
2023-06-10 12:04:17 EDT: N8EPK-11>APLIGA,WIDE2-1,qAR,N8HKU-5:/160412h4210.91N/08223.70WO135/019/A=017138 037TxC  -1.40C  530.31hPa  5.23V 05S https://bartold.sienkowski.com/
2023-06-10 12:13:11 EDT: N8EPK-11>APLIGA,WIDE2-1,qAR,HOLLY:/161306h4209.54N/08221.26WO119/015/A=015458 042TxC  -0.20C  567.37hPa  5.33V 05S https://bartold.sienkowski.com/
